"id","case_code","category_code","case_content","create_user","create_time","modify_user","modify_time","del_stat","version_no"
"1","109511010000000501","1095110100000005","家政服务人员A按每小时200元【价格】、每周一次、每次两小时的【频次】为顾客B提供家政服务【类型】，于2022年5月23日下午2点到4点【起止时间】通过线下实地走访【方式】到访B家中，随身携带清洁工具和收纳工具【工具】，A自身具家政服务资格【要求】，B可为每次服务给出【评估结果】，A服务结束后，顾客B收获了整洁的家庭环境【结果产物】",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"2","109511010000000502","1095110100000005","2022年5月23日【起止时间】，居民A自行前往检测点B【方式】进行核酸检测（【频次】依照防控政策），核酸检测人员C使用测温枪、采样咽拭子等【工具】为居民提供核酸检测服务【类型】，其中日常化检测收费35元/1次，全员检测免费提供【价格】，检测结束后，居民会交流讨论服务的效率、态度、体验等【评估结果】，一天后居民会得到自己的核算报告【结果产物】。另外对于服务的双方有一定的【要求】，对于工作人员要求一定的专业经验、身体健康等，待检测者依据目前的风险状态结合防控要求进行检测",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"3","109511020000000801","1095110200000008","2022年4月4日上午11点到12点【起止时间】，居民A在静安区阳曲路某小区核酸检测点进行核酸检测时，与工作人员B由于沟通不畅【原因】引发言语纠纷【类型】，导致B受刺激后死亡，A被静安区公安局采取刑事强制措施【后果】",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"4","109511020000000802","1095110200000008","2022年4月9日下午1点【起止时间】，人员A与B在次渠嘉园小区因房屋产权纠纷【原因】引发身体冲突【类型】，导致B受到人身伤害【后果】",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"5","109511030000000b01","109511030000000b","自2019年7月起【起止时间】，张三作为部门领导依据集团管理条例【依据条例】对李四进行直接管理【方式】，可以全面考核李四的业务绩效等【权限范畴】，因管理效率高、效果好得到了同事们的好评【评估结果】",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"6","109511030000000b02","109511030000000b","2022年5月5日起【起止时间】，基于次渠嘉园社区疫情防控政策【依据条例】，社区工作人员A对次密接人员B进行直接管理【方式】，通过通信设备等对B的状态及时监测、反馈，实现对居家隔离人员B的健康监测管理【权限范畴】，B对该项管理给出的【评估结果】为效率高、态度好",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"7","109511040000000101","1095110400000001","自2022年4月起【起止时间】，人员A与B开展技术协作【类型】，A负责身份证信息采集，B负责咽拭子唾液采集【职责分工】，采用手机和试剂盒共同完成核酸检测任务【目的】，A与B配合默契【评估结果】",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"8","109511040000000102","1095110400000001","2022年1月15日至2月10日【起止时间】，A与B通过技术协作【类型】合作完成KDD论文投稿【目的】，A负责跑通实验，B负责论文撰写【职责分工】，A与B通过通信设备默契配合【评估结果】，按时完成【进程】了论文的投递任务",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"9","109511050000000401","1095110500000004","2018年9月至2021年7月【起止时间】，张老师【角色】指导学生李明开展图像处理【方向】的博士课题研究【目的】，通过实验设备和专业书籍【工具】采用线上和线下相结合的方式进行理论指导，指导【频次】为一周三次，该项指导的【评估结果】为评价反馈优",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"10","109511050000000402","1095110500000004","2022年1月12日【起止时间】，患者A在京东健康APP【工具】，因感冒用药问题【目的】以在线【方式】咨询医生【角色】A的指导，B对该次指导的反馈为优【评估结果】",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"11","109511060000000701","1095110600000007","社区人员摸排过程中需要对老年人及幼童等人员进行登记，年轻人A作为老年人B的直系亲属【类型】，代替B做信息登记，登记信息显示，A、B为父子关系，A称B为父亲【称谓】",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"12","109511060000000702","1095110600000007","张三是李明的表哥【称谓】，两人是旁系亲属关系【类型】",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"13","109511070000000a01","109511070000000a","2022年5月20日上午8点【起止时间】，A与B经合法登记【方式】成为新婚夫妻【类型】，尚未生育子女【婚育情况】，A称B为妻子【称谓】",NULL,"2023-05-23 00:35:21",NULL,"2024-01-18 07:00:22","0","0"
"14","109511070000000a02","109511070000000a","2021年12月，李某与王某办理离婚【方式】，离婚后两人为离异关系【类型】，互称对方为前妻/前夫【称谓】。另外两人育有一女【婚育情况】，离婚后王某取得孩子的抚养权",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"17","109511080000000001","1095110800000000","2022年5月20日下午2点起【起止时间】，A收养【方式】B成为B的养父母【类型】，B对A的【称谓】为养父。",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"18","109511080000000002","1095110800000000","2021年5月20日李某与张某登记结婚，婚前李某与前妻育有一子（未成年），张某与该子的关系为抚养类型【类型】，该子对张某的称谓为继母。",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"19","109544010000000401","1095440100000004","2022年5月18日【起止时间】，上海特斯拉工厂内，安全气囊A作为汽车B的组件【类型】被安装到B上，【功能】为提高汽车的安全性，安装方式【引入方式】为机械自动化安装，可对该从属关系进行评估，【评估结果】为合规",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"20","109544010000000402","1095440100000004","2022年5月23日下午2点，检测点A中，单个核酸检测瓶B作为一组核酸检测瓶C的子集【类型】，连同C中其他检测瓶用于判断本组中是否有异常【功能】，【引入方式】为人工插入，该从属关系的【评估结果】为合规",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"21","109544020000000701","1095440200000007","自2021年8月1日起【起止时间】，笔记本A与显示器B以一天一次的【频次】进行串联【类型】用以传输数据【目的】，连接工具【媒介】为传输线，【传输内容】为显示界面数据，可根据显示效果给出【评估结果】",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
"22","109544020000000702","1095440200000007","2022年5月23日下午2点【起止时间】，京东物流X事业部无人车A与B开展了车联网并联【类型】，【连接容量】为千兆吞吐量，连接方式为无线连接，【媒介】为5G网络，【传输内容】为运行数据，【目的】是对信息网络中的所有车辆动态信息进行有效利用，可对连接效果给出【评估结果】",NULL,"2023-05-23 00:35:22",NULL,"2024-01-18 07:00:22","0","0"
